"","Runs","Mins","BF","4s","6s","SR","Pos","Dismissal","Inns","Opposition","Ground","Start Date","ha","result"
"144","0","9","5","0","0","0.00","4","caught","2","v South Africa","Chennai","26 Mar 2008",1,4
"145","13","26","18","3","0","72.22","4","caught","2","v Australia","Bangalore","9 Oct 2008",1,4
"146","49","177","126","4","0","38.88","4","caught","4","v Australia","Bangalore","9 Oct 2008",1,4
"147","68","188","126","11","0","53.96","4","caught","1","v Australia","Delhi","29 Oct 2008",1,4
"148","47","159","120","4","0","39.16","5","caught","3","v Australia","Delhi","29 Oct 2008",1,4
"149","11","45","26","1","0","42.30","4","lbw","1","v England","Mohali","19 Dec 2008",1,4
"150","5","41","22","1","0","22.72","4","caught","3","v England","Mohali","19 Dec 2008",1,4
"151","4","3","3","1","0","133.33","4","bowled","1","v Sri Lanka","Ahmedabad","16 Nov 2009",1,4
"152","100*","298","211","11","0","47.39","5","not out","3","v Sri Lanka","Ahmedabad","16 Nov 2009",1,4
"153","40","168","133","5","0","30.07","4","caught","1","v New Zealand","Ahmedabad","4 Nov 2010",1,4
"154","12","27","25","2","0","48.00","4","bowled","3","v New Zealand","Ahmedabad","4 Nov 2010",1,4
"155","13","52","28","1","0","46.42","4","caught","2","v New Zealand","Hyderabad (Deccan)","12 Nov 2010",1,4
"156","DNB","-","-","-","-","-","-","-","4","v New Zealand","Hyderabad (Deccan)","12 Nov 2010",1,4
"157","94","219","153","8","2","61.43","4","caught","2","v West Indies","Mumbai","22 Nov 2011",1,4
"158","3","6","7","0","0","42.85","4","caught","4","v West Indies","Mumbai","22 Nov 2011",1,4
"159","2","25","13","0","0","15.38","4","bowled","2","v England","Nagpur","13 Dec 2012",1,4
"160","28","74","52","5","0","53.84","4","caught","1","v Sri Lanka","Colombo (SSC)","27 Jul 1993",2,1
"161","104*","217","161","11","1","64.59","4","not out","3","v Sri Lanka","Colombo (SSC)","27 Jul 1993",2,1
"162","18","63","41","1","0","43.90","5","caught","2","v Bangladesh","Dhaka","10 Nov 2000",2,1
"163","DNB","-","-","-","-","-","-","-","4","v Bangladesh","Dhaka","10 Nov 2000",2,1
"164","74","179","128","12","0","57.81","4","caught","2","v Zimbabwe","Bulawayo","7 Jun 2001",2,1
"165","36*","41","49","4","0","73.46","4","not out","4","v Zimbabwe","Bulawayo","7 Jun 2001",2,1
"166","117","356","260","14","0","45.00","4","lbw","1","v West Indies","Port of Spain","19 Apr 2002",2,1
"167","0","16","4","0","0","0.00","4","lbw","3","v West Indies","Port of Spain","19 Apr 2002",2,1
"168","193","434","330","19","3","58.48","4","lbw","1","v England","Leeds","22 Aug 2002",2,1
"169","1","15","6","0","0","16.66","4","caught","2","v Australia","Adelaide","12 Dec 2003",2,1
"170","37","79","59","5","0","62.71","4","lbw","4","v Australia","Adelaide","12 Dec 2003",2,1
"171","194*","493","348","21","0","55.74","4","not out","1","v Pakistan","Multan","28 Mar 2004",2,1
"172","1","6","3","0","0","33.33","4","caught","2","v Pakistan","Rawalpindi","13 Apr 2004",2,1
"173","248*","552","379","35","0","65.43","4","not out","2","v Bangladesh","Dhaka","10 Dec 2004",2,1
"174","36","79","55","6","0","65.45","4","lbw","1","v Bangladesh","Chittagong","17 Dec 2004",2,1
"175","44","113","89","7","0","49.43","4","caught","1","v South Africa","Johannesburg","15 Dec 2006",2,1
"176","14","43","22","3","0","63.63","4","bowled","3","v South Africa","Johannesburg","15 Dec 2006",2,1
"177","122*","354","226","8","1","53.98","4","not out","1","v Bangladesh","Dhaka","25 May 2007",2,1
"178","91","259","197","12","0","46.19","4","lbw","2","v England","Nottingham","27 Jul 2007",2,1
"179","1","17","15","0","0","6.66","4","caught","4","v England","Nottingham","27 Jul 2007",2,1
"180","71","175","128","9","0","55.46","4","lbw","1","v Australia","Perth","16 Jan 2008",2,1
"181","13","33","25","2","0","52.00","5","lbw","3","v Australia","Perth","16 Jan 2008",2,1
"182","5","5","3","1","0","166.66","4","lbw","1","v Sri Lanka","Galle","31 Jul 2008",2,1
"183","31","54","42","5","0","73.80","4","caught","3","v Sri Lanka","Galle","31 Jul 2008",2,1
"184","160","397","260","26","0","61.53","4","caught","2","v New Zealand","Hamilton","18 Mar 2009",2,1
"185","DNB","-","-","-","-","-","-","-","4","v New Zealand","Hamilton","18 Mar 2009",2,1
"186","105*","246","166","11","2","63.25","4","not out","1","v Bangladesh","Chittagong","17 Jan 2010",2,1
"187","16","47","26","2","0","61.53","5","lbw","3","v Bangladesh","Chittagong","17 Jan 2010",2,1
"188","143","259","182","13","1","78.57","4","caught","2","v Bangladesh","Dhaka","24 Jan 2010",2,1
"189","DNB","-","-","-","-","-","-","-","4","v Bangladesh","Dhaka","24 Jan 2010",2,1
"190","41","88","72","5","0","56.94","4","caught","2","v Sri Lanka","Colombo (PSS)","3 Aug 2010",2,1
"191","54","186","122","3","0","44.26","4","caught","4","v Sri Lanka","Colombo (PSS)","3 Aug 2010",2,1
"192","13","42","22","3","0","59.09","4","caught","1","v South Africa","Durban","26 Dec 2010",2,1
"193","6","22","10","1","0","60.00","4","caught","3","v South Africa","Durban","26 Dec 2010",2,1
"194","0","1","1","0","0","0.00","6","caught","2","v New Zealand","Christchurch","2 Feb 1990",2,2
"195","24","50","44","3","0","54.54","6","caught","3","v New Zealand","Christchurch","2 Feb 1990",2,2
"196","10","30","19","1","0","52.63","6","bowled","2","v England","Lord's","26 Jul 1990",2,2
"197","27","93","65","4","0","41.53","6","caught","4","v England","Lord's","26 Jul 1990",2,2
"198","16","47","42","3","0","38.09","6","bowled","1","v Australia","Brisbane","29 Nov 1991",2,2
"199","7","36","25","1","0","28.00","6","caught","3","v Australia","Brisbane","29 Nov 1991",2,2
"200","15","33","23","0","0","65.21","7","caught","1","v Australia","Melbourne","26 Dec 1991",2,2
"201","40","122","107","5","0","37.38","7","caught","3","v Australia","Melbourne","26 Dec 1991",2,2
"202","6","20","8","1","0","75.00","6","lbw","2","v Australia","Adelaide","25 Jan 1992",2,2
"203","17","36","29","2","0","58.62","4","lbw","4","v Australia","Adelaide","25 Jan 1992",2,2
"204","114","228","161","16","0","70.80","4","caught","2","v Australia","Perth","1 Feb 1992",2,2
"205","5","12","9","1","0","55.55","4","caught","4","v Australia","Perth","1 Feb 1992",2,2
"206","6","27","17","1","0","35.29","4","caught","1","v South Africa","Port Elizabeth","26 Dec 1992",2,2
"207","0","1","1","0","0","0.00","4","caught","3","v South Africa","Port Elizabeth","26 Dec 1992",2,2
"208","24","71","41","4","0","58.53","4","bowled","1","v England","Birmingham","6 Jun 1996",2,2
"209","122","263","177","19","1","68.92","4","caught","3","v England","Birmingham","6 Jun 1996",2,2
"210","15","58","45","2","0","33.33","4","bowled","2","v South Africa","Durban","26 Dec 1996",2,2
"211","4","32","25","1","0","16.00","4","caught","4","v South Africa","Durban","26 Dec 1996",2,2
"212","169","329","254","26","0","66.53","5","caught","2","v South Africa","Cape Town","2 Jan 1997",2,2
"213","9","38","28","1","0","32.14","5","caught","4","v South Africa","Cape Town","2 Jan 1997",2,2
"214","92","222","147","14","1","62.58","4","caught","2","v West Indies","Bridgetown","27 Mar 1997",2,2
"215","4","25","14","0","0","28.57","4","caught","4","v West Indies","Bridgetown","27 Mar 1997",2,2
"216","34","103","68","3","0","50.00","5","caught","2","v Zimbabwe","Harare","7 Oct 1998",2,2
"217","7","27","14","0","0","50.00","4","caught","4","v Zimbabwe","Harare","7 Oct 1998",2,2
"218","47","95","72","7","0","65.27","5","caught","1","v New Zealand","Wellington","26 Dec 1998",2,2
"219","113","200","151","13","2","74.83","5","caught","3","v New Zealand","Wellington","26 Dec 1998",2,2
"220","61","181","133","8","0","45.86","5","caught","2","v Australia","Adelaide","10 Dec 1999",2,2
"221","0","6","5","0","0","0.00","5","lbw","4","v Australia","Adelaide","10 Dec 1999",2,2
"222","116","283","191","9","1","60.73","4","caught","2","v Australia","Melbourne","26 Dec 1999",2,2
"223","52","162","122","4","0","42.62","4","lbw","4","v Australia","Melbourne","26 Dec 1999",2,2
"224","45","82","53","8","0","84.90","4","lbw","1","v Australia","Sydney","2 Jan 2000",2,2
"225","4","6","4","1","0","100.00","4","caught","3","v Australia","Sydney","2 Jan 2000",2,2
"226","20","78","46","2","1","43.47","4","bowled","1","v Zimbabwe","Harare","15 Jun 2001",2,2
"227","69","185","135","9","0","51.11","4","caught","3","v Zimbabwe","Harare","15 Jun 2001",2,2
"228","155","233","184","23","1","84.23","4","caught","1","v South Africa","Bloemfontein","3 Nov 2001",2,2
"229","15","60","35","2","0","42.85","4","caught","3","v South Africa","Bloemfontein","3 Nov 2001",2,2
"230","0","4","2","0","0","0.00","4","caught","1","v West Indies","Bridgetown","2 May 2002",2,2
"231","8","32","17","1","0","47.05","4","lbw","3","v West Indies","Bridgetown","2 May 2002",2,2
"232","41","94","63","7","0","65.07","4","bowled","2","v West Indies","Kingston","18 May 2002",2,2
"233","86","162","139","13","0","61.87","4","bowled","4","v West Indies","Kingston","18 May 2002",2,2
"234","16","94","61","2","0","26.22","5","caught","2","v England","Lord's","25 Jul 2002",2,2
"235","12","51","35","2","0","34.28","4","bowled","4","v England","Lord's","25 Jul 2002",2,2
"236","8","47","26","2","0","30.76","4","lbw","1","v New Zealand","Wellington","12 Dec 2002",2,2
"237","51","120","74","7","0","68.91","4","bowled","3","v New Zealand","Wellington","12 Dec 2002",2,2
"238","9","40","31","1","0","29.03","4","caught","1","v New Zealand","Hamilton","19 Dec 2002",2,2
"239","32","55","48","5","0","66.66","4","bowled","3","v New Zealand","Hamilton","19 Dec 2002",2,2
"240","0","3","1","0","0","0.00","4","caught","1","v Australia","Melbourne","26 Dec 2003",2,2
"241","44","107","79","5","0","55.69","5","caught","3","v Australia","Melbourne","26 Dec 2003",2,2
"242","2","10","6","0","0","33.33","4","lbw","1","v Pakistan","Lahore","5 Apr 2004",2,2
"243","8","17","11","1","0","72.72","4","lbw","3","v Pakistan","Lahore","5 Apr 2004",2,2
"244","23","49","29","5","0","79.31","4","bowled","2","v Pakistan","Karachi","29 Jan 2006",2,2
"245","26","74","47","5","0","55.31","4","bowled","4","v Pakistan","Karachi","29 Jan 2006",2,2
"246","63","173","115","11","0","54.78","4","caught","2","v South Africa","Durban","26 Dec 2006",2,2
"247","0","13","7","0","0","0.00","4","lbw","4","v South Africa","Durban","26 Dec 2006",2,2
"248","64","187","130","11","0","49.23","4","caught","1","v South Africa","Cape Town","2 Jan 2007",2,2
"249","14","88","62","1","0","22.58","5","lbw","3","v South Africa","Cape Town","2 Jan 2007",2,2
"250","62","113","77","7","1","80.51","4","bowled","2","v Australia","Melbourne","26 Dec 2007",2,2
"251","15","31","21","1","0","71.42","4","caught","4","v Australia","Melbourne","26 Dec 2007",2,2
"252","154*","429","243","14","1","63.37","4","not out","2","v Australia","Sydney","2 Jan 2008",2,2
"253","12","33","16","3","0","75.00","4","bowled","4","v Australia","Sydney","2 Jan 2008",2,2
