"","Overs","Mdns","Runs","Wkts","Econ","Pos","Inns","Opposition","Ground","Start Date","ha","result"
"231","21.0","3","118","1","5.61","3","3","v Pakistan","Faisalabad","21 Jan 2006",2,4
"232","27.3","6","86","3","3.12","4","2","v West Indies","St John's","2 Jun 2006",2,4
"233","34.0","8","107","4","3.14","3","4","v West Indies","St John's","2 Jun 2006",2,4
"234","30.0","12","57","3","1.90","3","2","v West Indies","Gros Islet","10 Jun 2006",2,4
"235","42.0","10","98","3","2.33","4","3","v West Indies","Gros Islet","10 Jun 2006",2,4
"236","47.0","8","140","0","2.97","3","1","v West Indies","Basseterre","22 Jun 2006",2,4
"237","12.0","0","60","3","5.00","3","3","v West Indies","Basseterre","22 Jun 2006",2,4
"238","DNB","-","-","-","-","-","2","v Bangladesh","Chittagong","18 May 2007",2,4
"239","DNB","-","-","-","-","-","4","v Bangladesh","Chittagong","18 May 2007",2,4
"240","23.0","2","60","2","2.60","5","1","v England","Lord's","19 Jul 2007",2,4
"241","17.0","3","70","1","4.11","4","3","v England","Lord's","19 Jul 2007",2,4
"242","29.1","7","94","3","3.22","3","2","v England","The Oval","9 Aug 2007",2,4
"243","37.0","9","123","2","3.32","3","4","v England","The Oval","9 Aug 2007",2,4
"244","30.0","4","109","1","3.63","5","2","v Australia","Adelaide","24 Jan 2008",2,4
